hashed_userid,masked_username,location,following,followers,totaltweets,usercreateddt,tweetid,tweetcreatedts,retweetcount,text,hashtags,language,favorite_count,is_retweet,original_tweet_id,in_reply_to_status_id,is_quote_status,quoted_status_id,extractedts,urbanized,auto_label,score,wrong_label,irrelevant,manual_label
19917368490449815903,*****tonMa,"('Acton', 'MA')",770,820,25559,2017-10-25,1547346874016882689,2022-07-13 22:26:57,5,"Over and over, Americans have had to stand up for their basic rights.

Today, #TeamCoup wants to control women's bodies. They won't stop there.

Time to stand up, fight back, and vote with #TeamYOU for the rights of ALL of us.

 #GMW4U #RoeVWade https://t.co/1U1vbofc4Q","[{'text': 'TeamCoup', 'indices': [78, 87]}, {'text': 'TeamYOU', 'indices': [189, 197]}, {'text': 'GMW4U', 'indices': [229, 235]}, {'text': 'RoeVWade', 'indices': [236, 245]}]",en,0,True,1547343612047794176,0,False,0,2022-07-14 05:48:22.884839,0,1,0.8169646859169006,1,0,0
34818216770331856406,********ridgeMA,"('Acton', 'MA')",3590,12875,77525,2010-02-26,1548335982667186178,2022-07-16 15:57:19,1,"From @jacobin: ""The GOP Is Dismantling Our Democracy. Democrats Are Letting Them Get Away With It."" What are national #Democratic leaders doing to stop the Right? Exhibit A: A modest #abortionrights executive order in response to the repeal of #RoevsWade 
https://t.co/OFnNXei2Kh","[{'text': 'Democratic', 'indices': [118, 129]}, {'text': 'abortionrights', 'indices': [183, 198]}, {'text': 'RoevsWade', 'indices': [244, 254]}]",en,1,False,0,0,False,0,2022-07-16 21:54:58.772107,0,0,0.9869499802589417,0,0,0
19917368490449815903,*****tonMa,"('Acton', 'MA')",770,823,25783,2017-10-25,1548366262929018883,2022-07-16 17:57:38,5,"161. That's how many times the filibuster has been changed to date.

Help us register more pro-choice Dems now so we're ready in November to elect 2 more Democrat Senators. Let's make #RoeVsWade Federal law.

 #AbortionIsEssential #Voterizer https://t.co/jYlb8snGWK","[{'text': 'RoeVsWade', 'indices': [184, 194]}, {'text': 'AbortionIsEssential', 'indices': [210, 230]}, {'text': 'Voterizer', 'indices': [231, 241]}]",en,0,True,1548345765965094912,0,False,0,2022-07-16 22:54:59.927495,0,0,0.9983021020889282,0,0,0
19917368490449815903,*****tonMa,"('Acton', 'MA')",773,819,26273,2017-10-25,1553829189710749701,2022-07-31 19:45:22,714,"First, an extremist Supreme Court overturned #RoeVWade. Then, Senate Republicans blocked @SenMarkey's legislation this week to protect Americans’ right to access birth control. It’s shameful.
 
Americans should have the right to make their own decisions about their own bodies.","[{'text': 'RoeVWade', 'indices': [45, 54]}]",en,0,True,1553743629985796096,0,False,0,2022-08-01 12:26:06.204689,0,0,0.9982927441596985,0,0,0
19917368490449815903,*****tonMa,"('Acton', 'MA')",770,823,25677,2017-10-25,1547788772439257090,2022-07-15 03:42:54,4,"America's can-do spirit has helped expand rights and freedoms for both men/women.
The #TeamCoup-controlled Supreme Court doesn't trust women's choices.

The Team YOU majority does. #RegisterDemocrats—support #TeamYOU.

 #GMW4U #RoeVWade #Voterizer  https://t.co/7hjz8kKVrE","[{'text': 'TeamCoup', 'indices': [86, 95]}, {'text': 'RegisterDemocrats', 'indices': [181, 199]}, {'text': 'TeamYOU', 'indices': [208, 216]}, {'text': 'GMW4U', 'indices': [220, 226]}, {'text': 'RoeVWade', 'indices': [227, 236]}, {'text': 'Voterizer', 'indices': [237, 247]}]",en,0,True,1547647338780364800,0,False,0,2022-07-15 11:52:20.136044,0,0,0.9358834624290466,0,0,0
19917368490449815903,*****tonMa,"('Acton', 'MA')",770,823,25677,2017-10-25,1547788980963250176,2022-07-15 03:43:44,7,"A strong majority of Americans support Roe v. Wade. 

Now we need to elect 2 more Democrat Senators make #RoeVsWade federal law! 

help protect a woman's right to choose. Help us register pro-choice Democrats.

 #AbortionIsEssential #Voterizer https://t.co/lZjhuRMMtA","[{'text': 'RoeVsWade', 'indices': [105, 115]}, {'text': 'AbortionIsEssential', 'indices': [212, 232]}, {'text': 'Voterizer', 'indices': [233, 243]}]",en,0,True,1547647043778228224,0,False,0,2022-07-15 11:52:20.087052,0,0,0.98712557554245,0,0,0
19917368490449815903,*****tonMa,"('Acton', 'MA')",767,815,25362,2017-10-25,1545051341721968642,2022-07-07 14:25:20,18,"@Miriam2626 @dlmluckytiger Thank you for posting this awful situation. We need all doctors, lawyers, healthcare workers, etc to post about crisis situations resulting from these heinous, draconian anti-abortion laws so people can see that #ElectionsHaveConsequences. #MedTwitter #WomenInMedicine #ProChoice","[{'text': 'ElectionsHaveConsequences', 'indices': [239, 265]}, {'text': 'MedTwitter', 'indices': [267, 278]}, {'text': 'WomenInMedicine', 'indices': [279, 295]}, {'text': 'ProChoice', 'indices': [296, 306]}]",en,0,True,1545039281076453376,0,False,0,2022-07-07 16:44:26.610370,0,0,0.9921991229057312,0,0,0
19917368490449815903,*****tonMa,"('Acton', 'MA')",770,823,25677,2017-10-25,1547789170344488961,2022-07-15 03:44:29,11,"161. That's how many times the filibuster has been changed to date.

Help us register more pro-choice Dems now so we're ready in November to elect 2 more Democrat Senators. Let's make #RoeVsWade Federal law.

 #AbortionIsEssential #Voterizer https://t.co/f1nnlXkRvX","[{'text': 'RoeVsWade', 'indices': [184, 194]}, {'text': 'AbortionIsEssential', 'indices': [210, 230]}, {'text': 'Voterizer', 'indices': [231, 241]}]",en,0,True,1547651341836623872,0,False,0,2022-07-15 11:52:20.000407,0,0,0.9983745813369751,0,0,0
19917368490449815903,*****tonMa,"('Acton', 'MA')",773,819,26182,2017-10-25,1553490609133977600,2022-07-30 21:19:58,33,"A strong majority of Americans supported Roe v. Wade!

Now we need to elect 2 more Democrat Senators to make #RoeVsWade federal law!

Protect a woman's right to choose. Help us #RegisterDemocrats who are pro-choice.

 #AbortionIsEssential #Voterizer https://t.co/kMAHJbIaDL","[{'text': 'RoeVsWade', 'indices': [109, 119]}, {'text': 'RegisterDemocrats', 'indices': [177, 195]}, {'text': 'AbortionIsEssential', 'indices': [218, 238]}, {'text': 'Voterizer', 'indices': [239, 249]}]",en,0,True,1553189691469336576,0,False,0,2022-07-31 15:09:30.641200,0,0,0.9847760796546936,0,0,0
19917368490449815903,*****tonMa,"('Acton', 'MA')",772,822,26004,2017-10-25,1552229295241707525,2022-07-27 09:47:57,4,"“This is not democracy,” writes @VoteKendraOK. “This is what happens when extremists are in charge.” #RoeVWade  https://t.co/3MC9Uozcll via @HuffPost https://t.co/ymd4QUUjBf","[{'text': 'RoeVWade', 'indices': [101, 110]}]",en,0,True,1552111043014496256,0,False,0,2022-07-27 19:14:13.576470,0,0,0.994877278804779,0,0,0
